time;ideaCreationTime;activity;MoyplayerRemainingTokens;MoyplayerUsedTokens;MoyplayerIdeas;MoyplayerItems;MoyplayerComments;MoyplayerTimeSinceAction;MoyplayerVotes;MoyplayerBestIdeaScore;MoyplayerItemUsage;MoyplayerIdeaUsage;MoyplayerCommentUsage;Moyplayercréativité;Moyplayerpertinence;Moyplayerpersuasion;Moyplayeradaptation;Moyrankcréativité;Moyrankpertinence;Moyrankpersuasion;Moyrankadaptation;MoyideaCreationTime;MoyideaDepthMin;MoyideaDepthMax;MoyideaItems;MoyideaComments;MoyPositiveComments;MoyNegativeComments;MoyPositiveProportion;MoyNegativeProportion;MoyNulProportion;MoyideaVotes;MoyideaTokens;MoyideaShortLength;MoyideaLongLength;MoyideaTokensMax;MoyideaParentItems;MoyideaParentItemsMin;MoyideaParents;MoyideaParentItemsMax;MoyideaParentComments;MoyideaParentCommentsMin;MoyideaParentCommentsMax;MoyideaParentVotes;MoyideaParentVotesMin;MoyideaParentVotesMax;MoyideaParentItemMean;MoyideaParentCommentsMean;MoyideaParentVotesMean;MoyideaSameOwnerParents;Moychildrens;MoycommentSize;MoyvoteTokens;MoyvoteValence
0;412;4;6.25;3.75;0.5;0.25;3.5;17.5;3.5;0.5;0.25;0;0;0;1;0;1.25;6;4.25;6;3.5;412;1;1;0;2.5;1.25;0;0.416666666666667;0;0.583333333333333;2.5;4.25;22;65;4.25;0;0;2;0;3.5;1;3.5;3.5;1;3.5;0;1.75;1.75;0;0;8.75;1.75;0.5
0;416;2;8.5;1.5;1;0;1;57.5;1;0;0;0;0;2.5;0;0;0;3.5;6;6;6;416;1;1;2;1.5;0;0;0;0;1;1.5;2.5;34;65;2.5;0;0;2;0;4;3;4;4;3;4;0;2;2;0;0;0;1.5;0
0;455;5;4.4;5.6;0.6;2.6;2.2;125.4;2.2;1.4;3.4;0.2;0;0.4;2.8;0.8;0.4;5.8;5.2;5;5.4;455;1;1;1;3;0.8;0;0.256666666666667;0;0.743333333333333;3;8;20;35;10;0;0;2;0;4;3;4;4;3;4;0;2;2;0;0.6;2;1.6;0.2
0;516;1;6;4;1;0;2;67;2;0;0;2;0;7;0;0;0;2;6;6;6;516;2;2;2;1;1;0;1;0;0;1;3;25;48;3;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;38;3;1
0;583;5;1.4;8.6;1.2;2;4.4;14.2;4.4;2.4;2.8;0.4;0;3;11.2;1.2;2.03333333333333;4.6;3.6;4.4;3.6;583;2;2;0;3;1;0;0.456666666666667;0;0.543333333333333;3;6.6;42;0;7;1;1;2;1;4.2;2;4.2;4.2;2;4.2;0.5;2.1;2.1;0;0.6;0;1.8;0.2
0;589;2;2.5;7.5;1;0.5;3;13;3;1;0;0.5;0;5;11;0;2.5;3.5;3.5;6;2;589;1;1;2;1.5;0;0;0;0;1;1.5;3.5;14;86;3.5;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;0;2.5;0
1;583;1;3;7;1;4;9;0;8;7;10;1;0;6;14;4.16666666666666;0;4;3;1;5;583;2;2;0;6;1;0;0.166666666666666;0;0.833333333333333;6;7;42;0;9;1;1;2;1;5;2;5;5;2;5;0.5;2.5;2.5;0;1;0;-2;0
1;589;1;6;4;1;0;3;194;2;0;0;2;0;7;0;0;0;2;6;6;6;589;1;1;2;3;0;0;0;0;1;2;5;14;86;5;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;94;0;0
1;623;5;4.2;5.8;1.8;1.2;5.2;90;4.4;1.4;2;0.8;0;7.6;14.4;2.03333333333333;1.3;2.8;3.2;3.4;4.2;623;3;3;1;3;1;1.4;0.456666666666667;0.413333333333333;0.13;1.2;1.4;10;88;1.4;0;0;2;0;5;2;5;5;2;5;0;2.5;2.5;0;0;36;0.6;-0.2
1;750;3;1.33333333333333;8.66666666666667;1.33333333333333;4;8.66666666666667;52.3333333333333;7.66666666666667;5.66666666666667;9.33333333333333;1;0;6;22;4.49999999999999;0;4;2.33333333333333;1;5.33333333333333;750;1;1;1;2;1;0;0.611111111111111;0;0.388888888888889;2;3.66666666666667;7;67;5;0;0;2;0;4;4;4;4;4;4;0;2;2;0;1.33333333333333;8.66666666666667;0.666666666666667;0.333333333333333
1;818;1;4;6;1;0;5;89;3;0;0;2;0;7;0;0;-1.16666666666666;3;6;5;6;818;2;3;3;1;0;0;0;0;1;0;0;26;46;0;5;1;6;2;4;0;2;4;0;2;0.833333333333333;0.666666666666666;0.666666666666666;2;0;47;0;0
1;853;1;1;9;1;4;10;0;9;7;10;1;0;6;14;4.16666666666666;0;4;3;1;5;853;1;2;2;1;0;0;0;0;1;1;2;11;60;2;1;0;4;1;6;1;4;6;1;4;0.25;1.5;1.5;0;0;0;2;0
1;922;1;1;9;2;4;12;0;11;7;10;1;0;6;14;4.16666666666666;0;4;3;1;5;922;2;3;1;1;1;0;1;0;0;1;2;55;0;2;2;2;2;2;1;1;1;1;1;1;1;0.5;0.5;0;0;0;2;1
2;412;1;5;5;4;2;9;31;8;0;2;2;0;11;12;2;2.33333333333333;2;3;3;3;412;1;1;0;5;2;0;0.4;0;0.6;5;6;22;65;7;0;0;2;0;4;1;4;4;1;4;0;2;2;0;2;0;-1;0
2;455;1;2;8;0;2;4;98;4;0;2;0;0;0;0;0;2.25;6;6;5;3;455;1;1;1;6;1;0;0.166666666666666;0;0.833333333333333;6;7;20;35;12;0;0;2;0;4;3;4;4;3;4;0;2;2;0;2;0;-1;0
2;623;1;2;8;0;2;5;50;4;0;2;0;0;0;0;0;2.25;6;6;5;3;623;3;3;1;6;1;2;0.166666666666666;0.333333333333333;0.5;2;3;10;88;3;0;0;2;0;6;2;6;6;2;6;0;3;3;0;0;26;0;0
2;750;1;6;4;4;2;4;19;4;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;750;1;1;1;4;2;0;0.5;0;0.5;4;3;7;67;5;0;0;2;0;4;4;4;4;4;4;0;2;2;0;2;12;1;1
2;818;1;7;3;4;2;3;16;3;1;4;2;0;3;5;3.16666666666666;0;5;4;2;5;818;2;3;3;2;0;0;0;0;1;1;1;26;46;1;5;1;6;2;5;0;3;5;0;3;0.833333333333333;0.833333333333333;0.833333333333333;2;0;0;1;0
2;853;1;3;7;1;0;6;372;4;0;0;2;0;7;0;0;-1.16666666666666;4;6;5;6;853;1;2;2;2;0;0;0;0;1;2;3;11;60;3;1;0;4;1;8;1;4;8;1;4;0.25;2;2;0;2;0;1;0
2;922;1;2;8;4;2;10;0;9;0;2;2;0;11;12;2;5.33333333333333;2;3;3;1;922;2;3;1;2;1;0;0.5;0;0.5;2;5;55;0;5;2;2;2;2;1;1;1;1;1;1;1;0.5;0.5;0;0;0;3;0
2;955;1;1;9;2;4;13;239;11;7;11;1;0;9;22;7.49999999999999;0;3;2;1;5;955;1;1;1;1;0;0;0;0;1;0;0;7;52;0;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;32;0;0
2;1002;1;5;5;4;2;5;47;5;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;1002;1;2;3;1;0;0;0;0;1;1;1;58;49;1;1;0;4;1;9;4;5;9;4;5;0.25;2.25;2.25;0;0;0;1;0
2;1137;1;5;5;4;2;6;85;5;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;1137;1;3;2;1;0;1;0;1;0;0;0;12;31;0;3;0;6;2;9;1;4;9;1;4;0.5;1.5;1.5;1;0;41;0;-1
2;1240;1;4;6;4;2;7;87;6;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;1240;1;1;0;1;1;0;1;0;0;1;1;17;79;1;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;9;1;1
3;412;3;1;9;1.66666666666667;2;9.66666666666667;7.66666666666667;8.33333333333333;0.666666666666667;2.33333333333333;1;0;4;7;0.97222222222222;3.98333333333333;4.66666666666667;4.66666666666667;4.33333333333333;3;412;1;1;0;7;2;0;0.289682539682539;0;0.71031746031746;7;9.33333333333333;22;65;9.33333333333333;0;0;2;0;4;1;4;4;1;4;0;2;2;0;2;0;1.66666666666667;0
3;416;2;0;10;3.5;3;15.5;71;12;4.5;7;2;0;10.5;20;5.08333333333333;2.33333333333333;3;2.5;2;4;416;1;1;2;3.5;0;0.5;0;0.125;0.875;2;3;34;65;3;0;0;2;0;4;3;4;4;3;4;0;2;2;0;1;39;0;-0.5
3;455;1;1;9;0;2;11;23;9;0;2;0;0;0;7;0;4.66666666666666;6;5;5;2;455;1;1;1;7;1;0;0.142857142857142;0;0.857142857142857;7;6;20;35;12;0;0;2;0;4;3;4;4;3;4;0;2;2;0;2;0;-1;0
3;516;1;3;7;4;2;9;83;7;1;4;2;0;3;10;4.2;1.33333333333333;5;4;2;4;516;2;2;2;2;2;0;1;0;0;2;4;25;48;4;0;0;2;0;8;4;8;8;4;8;0;4;4;0;0;34;1;1
3;589;3;1.33333333333333;8.66666666666667;0.666666666666667;2.66666666666667;10;32;8.33333333333333;2.33333333333333;5;0.333333333333333;0;3;7.66666666666667;2.41666666666666;2.37222222222222;5.33333333333333;4.33333333333333;3.66666666666667;3.66666666666667;589;1;1;2;5;0.666666666666667;0;0.122222222222222;0;0.877777777777778;4;4;14;86;5;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;8.33333333333333;0;0.333333333333333
3;623;1;2;8;5;2;11;37;9;0;3;3;0;12;12;2;5.33333333333333;2;3;3;1;623;3;3;1;7;1;2;0.142857142857142;0.285714285714285;0.571428571428571;2;3;10;88;3;0;0;2;0;6;2;6;6;2;6;0;3;3;0;0;24;0;0
3;922;2;3;7;4.5;2;10.5;107;8.5;1.5;3.5;2.5;0;7.5;15.5;3.55833333333333;2.33333333333333;3.5;3;2.5;3.5;922;2;3;1;3.5;1;0.5;0.291666666666667;0.125;0.583333333333333;3;3;55;0;5;2;2;2;2;2;1;2;2;1;2;1;1;1;0;0;20;-1;-0.5
3;955;2;0;10;2.5;2;11;118.5;9;1;2.5;1.5;0;6;14;1.45833333333333;5.1;4;4;4;1.5;955;1;1;1;2.5;1;0;0.416666666666667;0;0.583333333333333;1;2;7;52;2;0;0;2;0;4;4;4;4;4;4;0;2;2;0;0;67.5;1;0.5
3;1002;1;1;9;2;4;14;131;11;7;11;1;0;9;22;7.24999999999999;0;3;2;1;5;1002;1;2;3;2;1;0;0.5;0;0.5;1;1;58;49;1;1;0;4;1;10;4;6;10;4;6;0.25;2.5;2.5;0;0;26;0;1
3;1137;1;0;10;5;2;16;108;12;2;3;3;0;13;21;2.91666666666666;4.66666666666666;2;2;3;3;1137;1;3;2;2;0;1;0;0.5;0.5;0;0;12;31;0;3;0;6;2;10;1;4;10;1;4;0.5;1.66666666666666;1.66666666666666;1;0;63;0;0
